Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
UVF,79432,189053,761427,1316,[JOM;MVP;CFU;JET;MQZ;WGM]
DNJ,21725,32204,152533,151,[WGM;TOH;DHF;GUQ;FOF]
MFO,54017,107208,456786,666,[FOF;FPZ;SZK;ZVN]
IQB,39291,68981,306542,388,[ZVN;LXL]
RIG,71584,161635,661226,1092,[LXL;KHJ;ZOG;CYN;DQR;DEL]
BAK,13876,18875,92584,78,[DEL;RWK;STH;ZYX;RXB]
WKX,89150,225659,893088,1621,[RXB;DYS;SZS;GQQ]
GCC,31443,51364,234345,269,[GQQ;CAQ]
BNO,16717,23478,113651,102,[CAQ;UZA;LQQ;OPQ;QKB;ONZ]
LFT,49009,93451,403529,563,[ONZ;YSN;XTA]
UXY,81302,195868,786108,1372,[XTA;XWM;OPE;SYC]
QHK,66576,145141,600150,960,[SYC;CKA;WRA;AVW;LMX;HLK]
ZZP,98869,265206,1033154,1958,[HLK;PRP;BRV;TEZ;ENR]
JSU,41161,73461,324552,419,[ENR;VQH]
ECH,26435,41124,191137,204,[VQH;FWS;OYT;DRY]
OUL,58728,120861,508918,770,[DRY;PQH]
JEY,44002,80476,352509,469,[PQH;MJG;LDX;QMQ;UHN;CQN]
TXD,76294,177860,720706,1224,[CQN;EYK]
CPI,18587,26645,127909,119,[EYK;MNB;CER;LWC;EJX;PKU]
YZU,93861,244461,959932,1781,[PKU;GXO;CQY;BEP;FBZ]
HRZ,36153,61707,277018,338,[FBZ;FRS;BOF;VGQ;OHH]
QJE,68446,151208,622695,1008,[OHH;VMM]
MUQ,53720,106370,453564,660,[VMM;HPK;SPQ;ANZ]
VMV,86012,213518,849656,1519,[ANZ;KUP;MSR;WYR;IVJ;PBU]
RWI,71287,160634,657541,1084,[PBU;LXZ;SWE;XTV;RNW]
BON,13579,18408,90423,75,[RNW;SUW]
KGR,45871,85228,371294,503,[SUW;KJI;MNS;QRE]
GRE,31146,50734,231720,265,[QRE;PHE]
PJJ,63438,135203,563015,882,[PHE;KLM;MUI]
YBN,95731,252116,987012,1846,[MUI;FNX;FVW;SSC]
ULA,81005,194778,782167,1363,[SSC;AVA]
DDF,23297,35105,165199,168,[AVA;JMH;DEL;KOQ;VOU;SKR]
ZOR,98571,263951,1028738,1947,[SKR;WMH;MPO;GUL;OKF]
IGW,40864,72742,321671,414,[OKF;MSU;WJQ;RKY;OOF]
SYB,73156,166974,680860,1135,[OOF;EKH]
NIO,58430,119978,505564,763,[EKH;KDD;TGB]
XAS,90723,231860,915186,1674,[TGB;DNB;GPR;DHL]
GSX,33015,54739,248369,291,[DHL;ZGQ]
CDK,18290,26135,125623,116,[ZGQ;SNX;YWX;CMS]
LVP,50582,97688,420015,595,[CMS;CML]
HFB,35856,61034,274269,333,[CML;TTG;PRP;MYU;AXE;XWS]
QXG,68149,150237,619093,1001,[XWS;SOS;VKA;XXP;CGP]
APL,10441,13645,68071,52,[CGP;YIM;SPR;SZA]
VAX,85715,212384,845590,1510,[SZA;ZEQ]
FSC,28008,44256,204468,224,[ZEQ;JMQ;XBS;ZPX;DEE;LWW]
OKH,60300,125571,526755,807,[LWW;BJT]
KUU,45574,84466,368288,498,[BJT;GSM]
TMY,77867,183432,741007,1270,[GSM;ZGX;TPJ]
PXL,63141,134278,559545,874,[TPJ;JBP;BRI;ZUE]
YPQ,95433,250890,982679,1836,[ZUE;OJX]
IHU,37726,65314,291708,362,[OJX;UFH;TIK;RWN]
DRH,23000,34551,162789,164,[RWN;RLH;NTG;DPJ]
NKM,55292,110835,470701,693,[DPJ;LSF]
WCR,87585,219565,871316,1570,[LSF;IHQ;CYO;QYS]
SMD,72859,165959,677133,1127,[QYS;AXM;IRI;LFI;LRG;BKC]
BEI,15152,20911,101957,88,[BKC;AFB;YCO;JRB;KKM]
XPV,90426,230683,910996,1664,[KKM;OEZ]
GHZ,32718,54095,245702,287,[OEZ;QDF;GWQ;JOU]
PZE,65011,140146,581519,921,[JOU;DZY]
LJR,50285,96882,416885,589,[DZY;FMB;WNK;ZIE]
UBW,82577,200578,803117,1411,[ZIE;YXL;HAF;WHM]
ETA,24870,38083,178091,185,[WHM;JFJ;CDW;OQD;TTB;LVS]
AEN,10144,13209,66001,50,[LVS;QKX;QQD;FZJ;SMH]
JWS,42436,76578,337011,441,[SMH;OOF;SYF;AQH;UEC]
FGE,27710,43657,201927,220,[UEC;YGN]
OYJ,60003,124676,523368,800,[YGN;BNI;NRH]
XQO,92295,238135,937495,1727,[NRH;GSV;XPO;SPN]
TBA,77570,182374,737156,1261,[SPN;UPB]
CTF,19862,28867,137809,131,[UPB;KQJ;YJG;RUV]
MLK,52154,101999,436714,627,[RUV;IIB]
HVX,37429,64627,288917,358,[IIB;LUY;GOX;AQO;EIA;VUK]
RNB,69721,155408,638246,1042,[VUK;AEN;CFO;WLU;JXU]
MYO,54995,109986,467447,687,[JXU;ZEQ;YFQ;YPY]
WQT,87288,218417,867209,1560,[YPY;PDL]
FIY,29580,47463,218012,244,[PDL;CPB;KJB;NIR;UQD;VQJ]
BSK,14854,20431,99756,86,[VQJ;QRV;VMB]
KKP,47147,88534,384294,527,[VMB;DMT;WSV;JEN]
UCU,79439,189078,761519,1316,[JEN;ANR;DKG;MGA;EQJ;KTJ]
PNG,64713,139204,577999,913,[KTJ;OVO;BZP;FUY;WMY]
ZFL,97006,257398,1005656,1891,[WMY;QTU]
UPY,82280,199476,799141,1402,[QTU;AXM;CMW;VRG]
EHD,24573,37515,175640,182,[VRG;GQL]
NZH,56865,115380,488067,728,[GQL;FTO;RXM;UHI;GOE;TCR]
JKU,42139,75848,334096,436,[TCR;KJR]
SCZ,74432,171363,696955,1171,[KJR;ZFU;SPC;FZQ;WIC;ELB]
BUD,16724,23490,113704,102,[ELB;YWW;ODA;BCG;NZU]
XEQ,91998,236944,933263,1717,[NZU;URO;SAH;XWE;GGO]
HXV,34291,57535,259912,310,[GGO;SES]
CHH,19565,28345,135490,129,[SES;UNW;WWG]
MZM,51857,101179,433542,621,[WWG;AXN;ATR;ESZ]
VRR,84150,206457,824296,1460,[ESZ;TDT]
RCE,69424,154425,634610,1034,[TDT;HGK;YBI;DWH]
AUI,11716,15543,77047,61,[DWH;LXD]
JMN,44009,80493,352579,469,[LXD;GWA;JME;EHX;OZP;KGE]
FWA,29283,46851,215436,240,[KGE;UYV;KQJ;NBA;EUB]
OOF,61575,129448,541383,837,[EUB;CFD;UHB;KRK]
KZR,46850,87760,381255,521,[KRK;DRO]
TRW,79142,188005,757626,1307,[DRO;IXI;EMP;TMZ;FYI;HNW]
DJB,21435,31678,150221,148,[HNW;OLP;DEH;JUZ;MNK]
ZTN,96709,256163,1001300,1881,[MNK;YVQ;KRC;NXA]
ILS,39001,68296,303777,383,[NXA;QPK]
RDX,71294,160658,657628,1084,[QPK;XGM;QMF;EQD;JCF;DMT]
NOJ,56568,114516,484770,721,[DMT;VHT;TJE]
